Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
Nowa cena! 2 pokoje w czterech oceanach!,"Gdańsk Przymorze, Obrońców Wybrzeża",60.64,2,9,2014,721 616 zł
Mieszkanie 4 pokoje 93m2 nowe budownictwo wrzeszcz,"Gdańsk Wrzeszcz, Do Studzienki",93.19,4,1,2013,1 072 000 zł
Gdańsk Trzy pokoje gotowe do zamieszkania,"Gdańsk Łostowice, Olimpijska",68.15,3,2,2010,459 000 zł
Okazja !! I piętro w kamienicy - Wrzeszcz - po remoncie,"Gdańsk Wrzeszcz, Jesionowa",56.7,3,1,1930,450 000 zł
Unikalne mieszkanie (z ogrodem i tarasem) centrum!,"Gdańsk Aniołki, Śniadeckich",75,3,2,1906,749 000 zł
"Mieszkanie, Gdańsk Morena, ul.Myśliwskie Wzgórze","Gdańsk Morena, Myśliwskie Wzgórze 8",51.6,2,2,2016,479 000 zł
Gotowe do wprowadzenia w samym centrum miasta !,"Gdańsk Biskupia Górka, Spadzista 2",38,2,1,1980,387 000 zł
Komfortowe 2-pokojowe mieszkanie Jasień,"Gdańsk Rębowo, Konrada Guderskiego",49,2,1,2014,419 000 zł
Kawalerka na nowoczesnym osiedlu dobra komunikacja,"Gdańsk Letnica, Starowiejska",29.7,1,5,2019,320 000 zł
3 pokojowe mieszkanie w zadbanej kamienicy Gdańsk Wrzeszcz | Zobacz >,"Gdańsk Wrzeszcz, Zbyszka z Bogdańca",68.69,3,2,1940,499 000 zł
Przytulne mieszkanie 3 pokojowe w Gdańsku,"Gdańsk Nowy Port, Strajku Dokerów",52,3,1,1930,379 000 zł
Apartament 58 m2 blisko morza - Dostępne od zaraz,"Gdańsk Wrzeszcz, Grudziądzka",58,3,1,2019,645 000 zł
Apartament blisko morza - Dostępne od zaraz,"Gdańsk Wrzeszcz, Gen. Józefa Hallera",67,3,1,2019,779 000 zł
Kawalerka blisko Mariny idealna na inwestycję,"Gdańsk Długie Ogrody, Sienna Grobla",34.1,1,1,2020,365 000 zł
Mieszkanie dwupokojowe na Letnicy,"Gdańsk Letnica, Starowiejska",36.18,2,7,2021,379 900 zł
Apartament w Mili Baltice - Blisko morza,"Gdańsk Wrzeszcz, Bolesława Chrobrego",63,3,2,2017,799 000 zł
Mieszkanie od zaraz - Zajezdnia Wrzeszcz - Ogródek,Gdańsk Wrzeszcz,40,2,parter,2019,485 000 zł
Wysoki standard - Tramwaj 4 min - Taras 13m,Gdańsk Jasień,41,2,4,0,367 000 zł
Mieszkanie w otulinie lasu - nowe - Morena,"Gdańsk Morena, Myśliwska",48,3,1,2020,489 000 zł
