Tytuł,Miejsce,Powierzchnia,L_pokoi,Pietro,Rok_budowy,Cena
"3-pokojowe mieszkanie, Przymorze","Gdańsk Przymorze, Piastowska",58,3,3,1962,498 000 zł
Letnica/15 minut do Plaży/2 Pokoje do wprowadzenia,"Gdańsk Letnica, Starowiejska",33,2,2,2018,370 000 zł
Centrum Przymorza- z potencjałem - od zaraz!,"Gdańsk Przymorze, Czerwony Dwór",58,4,5,0,499 000 zł
Morena NoweM3 + antresola i zielony taras na dachu,"Gdańsk Morena, Myśliwska",74,2,3,2020,744 500 zł
Kawalerka blisko morza i parku w stan deweloperski,"Gdańsk Brzeźno, Polskiego Czerwonego Krzyża",25.36,1,4,0,289 000 zł
Nowe Wykończone 2 Pokojowe Mieszkanie Stare Miasto,"Gdańsk Długie Ogrody, Angielska Grobla",45,2,parter,2020,650 000 zł
"Nowe budownictwo, blisko komunikacji 3 pokoje","Gdańsk Jasień, Leszczynowa",54,3,1,2013,449 000 zł
Mieszkanie z trzema balkonami,"Gdańsk Osowa, Afrodyty",62.26,3,2,2001,420 000 zł
"Klimatyzacja, hala garażowa dostępne od zaraz.","Gdańsk Stare Przedmieście, Toruńska",57.8,2,2,2015,675 000 zł
Kawalerka blisko morza,"Gdańsk Stogi, Stryjewskiego",25,1,1,1970,299 000 zł
Mieszkanie - Gdańsk Ujeścisko,"Gdańsk Ujeścisko, Warszawska",90,3,1,2020,699 000 zł
Mieszkanie w Gdańsku! Tylko 6.100 za m2 !,"Gdańsk Orunia Górna, Uranowa",61,3,2,1990,385 000 zł
Zabdane mieszkanie w Nowym Porcie,Gdańsk Nowy Port,57,3,4,1980,380 000 zł
Przytulna kawalerka na cichym osiedlu,"Gdańsk Wrzeszcz, Partyzantów",23.2,1,4,1975,345 000 zł
"Sprzedam, 3 pokoje, widok na park, śródmieście","Gdańsk Długie Ogrody, Św. Barbary",72,3,2,0,1 089 000 zł
"Gdańsk Matarnia, 3-pokojowe mieszkanie na sprzedaż","Gdańsk Matarnia - Rębiechowo, Mjr. Mieczysława Słabego",65.8,3,3,2016,649 000 zł
3 pokoje z widokiem na morze! INPRO we Wrzeszczu,"Gdańsk Wrzeszcz, Juliusza Słowackiego",65,3,7,2012,670 000 zł
"Gdańsk Przymorze, 3-pokojowe, 60.70m2, 2-balkony","Gdańsk Przymorze, Krzywoustego 28",60.7,3,1,1958,546 000 zł
"Odświeżone,nowoczesne, gotowe do zamieszkania","Gdańsk Ujeścisko, Przemyska",48,2,1,2011,419 900 zł
Mieszkanie 3-pokojowe na Przymorzu,"Gdańsk Przymorze, Jagiellońska",46,3,9,1970,449 000 zł
Trzypokojowe mieszkanie w Gdańsku Oliwa,"Gdańsk Oliwa, Drzymały 4",60.7,3,1,1930,610 000 zł
Kawalerka w najlepszej lokalizacji!,"Gdańsk Przymorze, Śląska",23,1,7,0,279 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Kościuszki Tadeusza",32.98,1,2,1960,320 000 zł
2 pokoje z m garażowym Karczemki ul. Irysowa,"Gdańsk Karczemki, Irysowa",38,2,1,2009,340 000 zł
3 pokoje Chełm gotowe do wprowadzenia,"Gdańsk Ujeścisko, Anny Jagiellonki",69,3,2,0,595 000 zł
Gdańsk Morena 3 pokojowe szybkie wydanie,"Gdańsk Morena, Piekarnicza",65.5,3,parter,0,630 000 zł
3 pokoje inwestycja Siedlce,"Gdańsk Siedlce, Zakopiańska",63.3,3,2,1962,479 000 zł
Inwestycja 2 pokoje 5 min od morza w Brzeźnie,"Gdańsk Brzeźno, Emilii Plater",50.2,2,1,1960,450 000 zł
Mieszkanie z widokiem na zatokę,"Gdańsk Przymorze, Rzeczypospolitej",60.48,3,14,2013,760 000 zł
Sprzedam mieszkanie na Ujescisku,"Gdańsk Ujeścisko, Przemyska",35,2,parter,2012,340 000 zł
"2 pokojowe, słoneczne w Falowcu, 6 piętro","Gdańsk Przymorze, Obrońców Wybrzeża",38,2,6,0,319 000 zł
Najtańsza Kawalerka / 2-Pokoje w Gdańsku,Gdańsk Rudniki,28,1,3,0,125 000 zł
Mieszkanie Gdańsk Wrzeszcz Matejki 96 m2,"Gdańsk Wrzeszcz, Matejki",96,0,2,1920,700 000 zł
"Dwupokojowe mieszkanie + hala garażowa, Atrakcyjne osiedle","Gdańsk Karczemki, Jaśminowy Stok",43.5,2,3,2009,348 250 zł
Nowoczesny apartament z tarasem i ogrodem - prestiżowe osiedle.,"Gdańsk Przymorze, Beniowskiego",68,3,parter,2017,860 000 zł
Słoneczne mieszkanie z dużym balkonem !,"Gdańsk Łostowice, Olimpijska 11",30,1,3,2008,279 000 zł
"Przymorze ul. Krynicka - 3 pokoje, 67 m2 - stan deweloperski","Gdańsk Przymorze, Krynicka",67,3,5,2020,736 309 zł
Słoneczne mieszkanie blisko centrum,"Gdańsk Orunia Górna, Krzemowa",61,3,4,1990,409 000 zł
Przestronne 3 pokoje w doskonałej lokalizacji,"Gdańsk Orunia Górna, Dywizji Wołyńskiej",73.7,3,parter,1996,475 000 zł
"Widok na Motławę + strefa relaksu, basen, SPA!","Gdańsk Stare Przedmieście, Jaglana",40,2,3,2017,639 000 zł
Trzypokojowe mieszkanie w Oliwie,"Gdańsk Przymorze, Bolesława Krzywoustego",70,3,2,1960,698 000 zł
"Mieszkanie marzeń, 3 pokoje w centrum Gdańska!!!!",Gdańsk Długie Ogrody,67.24,3,2,2018,795 000 zł
"Widok na Motławę + strefa relaksu, basen, SPA!","Gdańsk Stare Przedmieście, Jaglana",40,2,4,2017,639 000 zł
Mieszkanie,"Gdansk Przymorze, Kołobrzeska 11/13",37,2,3,1975,400 000 zł
"Spokojna okolica, las i cisza","Gdańsk Morena, Stefana Myczkowskiego",49,2,4,1990,419 000 zł
Mieszkanie 2 pokoje Focha Gdańsk,"Gdańsk Aniołki, Marsz. Ferdynanda Focha",48,2,2,2010,595 000 zł
Kawalerka nad morzem.,"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",30,1,5,2012,449 700 zł
Apartament z ogródkiem Gdańsk Jaśkowa Dolina,"Gdańsk Wrzeszcz, Jaśkowa Dolina",70,3,parter,2013,1 500 000 zł
Jagiellonska 2 pokoje,"Gdańsk Przymorze, Jagiellońska",45,2,1,1967,395 000 zł
3 pokoje idealne dla rodziny,"Gdańsk Niedźwiednik, Leśna Góra",61,3,2,1980,455 000 zł
Apartament gotowy pod inwestycję,Gdańsk Długie Ogrody,64,2,1,2018,930 000 zł
Słoneczne 2 pokoje na Przymorzu,Gdańsk Przymorze,44.5,2,2,1964,399 000 zł
Mieszkanie - Gdańsk Siedlce,Gdańsk Siedlce,55,3,parter,0,374 900 zł
Apartament idealny pod inwestycję,Gdańsk Śródmieście,64,2,1,2018,930 000 zł
Świetna inwestycja w sercu Starówki,"Gdańsk Śródmieście, Rajska",19,1,1,1960,299 000 zł
Przestronny apartament na Przymorzu blisko morza,"Gdańsk Przymorze, Beniowskiego",68.2,3,parter,2017,860 000 zł
"Nowoczesne I 3-pokoje, 57 m2 I Morena I Winda","Gdańsk Morena, Myśliwska",57.25,3,4,2014,619 000 zł
"Mieszkanie - Gdańsk Stogi, 324 000 zł","Gdańsk Stogi, Tamka",43,2,4,1972,324 000 zł
Super mieszkanie w cichej okolicy - Oliwa.,"Gdańsk Oliwa, Krzywoustego",70,3,1,1960,698 000 zł
Komfortowe dwa pokoje w sercu gdańskiej Moreny,"Gdańsk Morena, Poli Gojawiczyńskiej",41.4,2,2,0,380 000 zł
Idealne mieszkanie dla pary lub rodziny!,"Gdańsk Szadółki, Stężycka",54,3,1,2020,450 000 zł
"Klimatyczne 2 pokoje 59,5m Gdańsk Wrzeszcz","Gdańsk Wrzeszcz, Gen. De Gaulle'a",59.54,2,2,1960,650 000 zł
Dwa pokoje w niskim bloku!,"Gdańsk Żabianka, Jakuba Wejhera",41,2,2,0,369 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Tartaczna",46,2,2,0,644 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Tartaczna",46,2,3,0,644 000 zł
Gdańsk Wrzeszcz-2-pok ul.Marynarki Polskiej,"Gdańsk Wrzeszcz, Marynarki Polskiej",41.6,2,6,1975,399 000 zł
Mieszkanie z ogródkiem na Kiełpinku,"Gdańsk Kiełpinek, Sympatyczna",63,2,parter,2008,540 000 zł
Gdańsk Przymorze-3-pok  super lokalizacja,"Gdańsk Przymorze, Chłopska",52,3,2,1975,467 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Jasień, 1 pokój, 40,29 mkw, za 450000 zł. Kup Bez Prowizji!","Gdańsk Szadółki, Stężycka",40.29,1,3,2020,450 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Morena, 3 pokoje, 58,01 mkw, za 489894 zł. Kup Bez Prowizji!","Gdańsk Morena, Rakoczego",58.01,3,3,2020,489 894 zł
Dwa pokoje/ Nowe budownictwo/ Gdańsk Zaspa,"Gdańsk Zaspa, Jana Pawła Ii",47.8,2,1,2004,519 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Łostowice, 2 pokoje, 105,57 mkw, za 549900 zł. Kup Bez Prowizji!","Gdańsk Maćkowy, Pastelowa",105.57,2,3,2019,549 900 zł
"Mieszkanie na sprzedaż, Gdańsk, Sobieszewo, 2 pokoje, 41,98 mkw, za 518500 zł. Kup Bez Prowizji!","Gdańsk Sobieszewo, Nadwiślańska",41.98,2,parter,2020,518 500 zł
"Mieszkanie na sprzedaż, Gdańsk, Morena, 2 pokoje, 77,25 mkw, za 649000 zł. Kup Bez Prowizji!","Gdańsk Morena, Myśliwska",77.25,2,3,2018,649 000 zł
Komfortowe mieszkanie na Jasieniu z miejscem postojowym gratis,"Gdańsk Jasień, Guderskiego",49.2,2,1,2014,429 000 zł
Piękny Apartament- wykończony pod klucz! okazja!,"Gdańsk Długie Ogrody, Św. Barbary",55.15,3,5,2017,625 000 zł
3-pokojowe mieszkanie na Starówce,"Gdańsk Śródmieście, Długa",67.4,3,2,1950,799 000 zł
"Mieszkanie na sprzedaż, Gdańsk, 2 pokoje, 43,4 mkw, za 525000 zł. Kup Bez Prowizji!","Gdańsk Wrzeszcz, Szymanowskiego",43.4,2,2,2019,525 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Jasień, 1 pokój, 74,6 mkw, za 489000 zł. Kup Bez Prowizji!","Gdańsk Szadółki, Stężycka",74.6,1,3,2019,489 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Łostowice, 2 pokoje, 105,57 mkw, za 549000 zł. Kup Bez Prowizji!","Gdańsk Orunia Górna, Pastelowa",105.57,2,3,0,549 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Sobieszewo, 3 pokoje, 49,49 mkw, za 470000 zł. Kup Bez Prowizji!","Gdańsk Sobieszewo, Kwiatowa",49.49,3,parter,2019,470 000 zł
"Blisko morza, po kapitalnym remoncie","Gdańsk Przymorze, Chłopska",45,2,3,0,549 000 zł
Stylowe 3 pokoje plaża morze taras widok zachód,"Gdańsk Wrzeszcz, Bolesława Chrobrego",66.68,3,3,2017,1 095 000 zł
Apartament 4 pokojowy 100 m2 z kominkiem i garażem,"Gdańsk Morena, Pagórkowa",101,4,2,2015,1 040 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Morena, 2 pokoje, 46,51 mkw, za 417194 zł. Kup Bez Prowizji!","Gdańsk Morena, Rakoczego",46.51,2,8,2020,417 194 zł
Kawalerka we Wrzeszczu,"Gdańsk Wrzeszcz, Kościuszki",33,1,2,1960,320 000 zł
"Mieszkanie na sprzedaż, Gdańsk, Morena, 3 pokoje, 120,33 mkw, za 980500 zł. Kup Bez Prowizji!","Gdańsk Morena, Myśliwska",120.33,3,3,2019,980 500 zł
Okazja! Duże mieszkanie na Żabiance,Gdańsk Żabianka,63,4,1,1970,620 000 zł
Horyzont 2 pokoje,"Gdańsk Przymorze, Obrońców Wybrzeża",41,2,8,2005,512 000 zł
Blisko plaży gotowe do wprowadzenia niskie opłaty,"Gdańsk Przymorze, Jagiellońska",38,2,4,1970,399 000 zł
Nova Oliva 2 pok. blisko centrum biznesowego,"Gdańsk Przymorze, Słowiańska",52.65,2,4,2010,699 000 zł
3 pok. blisko plaży gotowe do zamieszkania garaż,"Gdańsk Przymorze, Olsztyńska",68.1,3,10,2015,880 000 zł
Mieszkanie z potencjałem- na 6 pokoi!,Gdańsk Przymorze,58,4,5,1980,499 000 zł
"Gdańsk Morena 2 pok, miejsce w hali, winda na już!","Gdańsk Morena, Myśliwskie Wzgórze",49,2,1,2010,489 000 zł
3 pokoje z oddzielną kuchnią na morenie 70m2,"Gdańsk Morena, Heleny Marusarzówny",63.8,3,parter,1985,517 000 zł
"Ustawne mieszkanie 3 pok. 47,7 m2, ul. Granitowa","Gdańsk Orunia , Granitowa",47.7,3,8,1974,360 000 zł
"Mieszkanie w budynku z 2008 r. na Chełmie, 2 oddzielne pokoje","Gdańsk Chełm, Szpora",51.17,2,3,2008,450 000 zł
"Mieszkanie 3 pok. ul.Anny Jagiellonki, z ogródkiem i miejscem parking.","Gdańsk Ujeścisko, Anny Jagiellonki",53.34,3,parter,2008,459 000 zł
Słoneczne kawalerka przy ul. Magellana na Morenie,"Gdańsk Morena, Magellana",30,1,3,2009,355 000 zł
"Dwupoziomowe mieszkanie 130 m2, ul. Blizbora na Jasieniu","Gdańsk Jasień, Rycerza Blizbora",130,6,3,1999,700 000 zł
"Przytulna kawalerka blisko Śródmieścia, ul. Malczewskiego","Gdańsk Siedlce, Malczewskiego",31,1,4,1975,324 000 zł
"Mieszkanie 3 pok. 46,5 m2 w Śródmieściu, ul. Spadzista","Gdańsk Śródmieście, Spadzista",46.5,3,2,1974,470 000 zł
"Urocze, przytulne mieszkanie 2 pokojowe ul. Nieborowska","Gdańsk Ujeścisko, Nieborowska",35,2,2,2006,369 000 zł
"Gdańsk Orunia Południe, 47,5m2, 2-pokojowe, w doskonałej lokalizacji!","Gdańsk Orunia , Dywizji Wołyńskiej",47.5,2,2,1998,429 000 zł
"Gdańsk Żabianka, 54m2, 3-pokojowe, w doskonałej lokalizacji !","Gdańsk Żabianka, Szyprów",54,3,2,1972,490 000 zł
"Gdańsk Śródmieście, ul. Św. Ducha, 58.38m2, 3-pokojowe","Gdańsk Śródmieście, Świętego Ducha",58.39,3,3,1955,699 000 zł
"Gdańsk Żabianka, 41,98m2, 2-pokojowe, w doskonałej lokalizacji !","Gdańsk Żabianka, Wejhera",41.98,2,4,1966,385 000 zł
"Gdańsk Orunia Górna, 65m2, 3-pokojowe","Gdańsk Orunia Górna, Platynowa",65,3,parter,1993,454 000 zł
Mieszkanie - Gdańsk Chełm,"Gdańsk Chełm, Reformacka",63.2,3,2,1990,535 000 zł
Mieszkanie - Gdańsk Chełm,"Gdańsk Chełm, Reformacka",74.78,4,1,1990,619 000 zł
Apartament na terenie Mariny Jachtowej,Gdańsk Sobieszewo,52.42,3,parter,2020,750 000 zł
2 pokoje z dobrą komunikacją i niskimi opłatami,"Gdańsk Łostowice, Wielkopolska",31.22,2,2,2020,239 000 zł
"Dochodowa inwestycja, idealna siedziba firmy, mieszkanie dla 1-2rodz.",Gdańsk Wrzeszcz,121.5,5,parter,1900,1 499 000 zł
Mieszkanie przy Gdańskim Żurawiu,"Gdańsk Stare Przedmieście, Szeroka 58/60",65,3,4,1958,680 000 zł
Komfortowa przestrzeń do życia.,"Gdańsk Chełm, Pastelowa",101.85,4,3,2020,544 900 zł
Mieszkanie - Gdańsk Łostowice,"Gdańsk Łostowice, Niepołomicka",38.5,2,parter,2018,320 000 zł
"Mieszkanie do remontu blisko PG, GUM i kolejki SKM","Gdańsk Młyniska, Okrąg",34.6,2,4,0,290 000 zł
"Mieszkanie 49 m, 2 pokoje, w cichej okolicy","Gdańsk Nowy Port, Wyzwolenia",49,2,4,1980,405 000 zł
Mieszkanie w otulinie lasu Magellana 14,"Gdańsk Morena/Wrzeszcz, Magellana 14",47,2,7,2014,560 000 zł
✔️ Gdańsk centrum - motława | 2 balkony+3 łazienki,"Gdańsk Długie Ogrody, Św. Barbary",105,5,6,2019,1 499 000 zł
Parter - 2 pokoje + oddzielna kuchnia,"Gdańsk Przymorze, Rzeczypospolitej",46,2,parter,0,339 000 zł
"Mieszkanie po remoncie, obok lasu","Gdańsk Strzyża, Gryglewskiego",26.1,1,4,1970,319 000 zł
Mieszkanie 3-pok z widokiem na panoramę,"Gdańsk Wrzeszcz, Marynarki Polskiej",52.4,3,5,1964,459 000 zł
Kawalerka Zaspa Rozstaje ! Inwestycja ! Okazja !,Gdańsk Zaspa,27,1,11,1974,359 000 zł
Przytulne mieszkanie 2-pok we Wrzeszczu,"Gdańsk Wrzeszcz, Gołębia",29.12,2,parter,1950,349 000 zł
"Przytulne mieszkanie 2-pok., niski blok","Gdańsk Morena, Raciborskiego",49.4,2,2,1990,429 000 zł
"Przestronne mieszkanie 3-pok, Wiszące Ogrody","Gdańsk Jasień, Przytulna",64,3,4,2008,540 000 zł
"4 pok. mieszkanie w kamienicy, widok na Motławę","Gdańsk Śródmieście, Powroźnicza",86.59,4,2,1974,1 240 000 zł
"Mieszkanie 45 m2, Łostowice, poddasze","Gdańsk Łostowice, Topazowa 3",45,2,3,2002,329 000 zł
"Mieszkanie Gdańsk, Siedlce, ul Ciasna",Gdańsk Ciasna,36.9,1,2,1970,370 000 zł
"Narożne, wysoki standard, tramwaj 3min.",Gdańsk Morena,58,3,2,2019,579 000 zł
"Apartament z pięknym widokiem, piętro 15","Gdańsk Przymorze, Obrońców Wybrzeża 11",60.8,2,15,2015,755 000 zł
2 pokoje blisko plaża morze. Żabianka,"Gdańsk Żabianka, sztormowa 7",43,2,parter,1973,490 000 zł
3 pokoje w doskonałej lokalizacji centrum Gdańska,"Gdańsk Śródmieście, Olejarna",69,3,2,1957,720 000 zł
"Mieszkanie w sercu Moreny, Cudowny widok, Dostępne od zaraz","Gdańsk Morena, Piecewska 20",44,2,9,1982,359 000 zł
Mieszkanie - Gdańsk Wrzeszcz,"Gdańsk Wrzeszcz, Stefana Batorego",25.6,1,parter,1970,280 000 zł
Kawalerka z komórką lokatorską i piwnicą,"Gdańsk Letnica, Starowiejska",29,1,1,2019,380 000 zł
Dwa pokoje z ogródkiem,"Gdańsk Jasień, Morelowa",39.9,2,parter,2012,420 000 zł
Dwa pokoje z miejscem w hali Albatross,Gdańsk Przymorze,32,2,4,2015,499 000 zł
Mieszkanie blisko Starówki,"Gdańsk Śródmieście, Szopy",54,3,4,1971,513 000 zł
Słoneczna Morena - 2 pokoje - wysoki standard,"Gdańsk Morena, Stanisława Lema",42,2,4,2016,529 000 zł
"Gdańsk Śródmieście, 2 pokoje, 23,28 m2","Gdańsk Śródmieście, Jana Heweliusza",23.28,2,3,1970,300 000 zł
"Nowoczesne,słoneczne mieszkanie SE 60 m2 + 60 m2 Taras Gdańsk Chełm",Gdańsk Chełm,60,3,parter,2015,695 000 zł
2 pokoje w najlepszej lokalizacji,"Gdańsk Przymorze, Władysławowska",37,2,1,1970,419 000 zł
"Komfortowe 3 pokojowe - Gdańsk, Łostowice","Gdańsk Św. Wojciech, Władysława Jagiełły",70,3,1,2012,489 930 zł
4 luksusowe apartamenty Gdańsk Starówka,"Gdańsk Śródmieście, Stara Stocznia",194.75,8,3,2017,4 000 000 zł
Mieszkanie - Gdańsk Przymorze,"Gdańsk Przymorze, Chłopska",43,2,4,1970,385 000 zł
Mieszkanie 57m2 z ogródkiem przy jeziorze!,Gdańsk Jasień,57,3,parter,2020,509 000 zł
Nowe 2 pokoje na Morenie,"Gdańsk Morena, Stanisława Lema",35.41,2,1,2017,415 000 zł
Okazja 3 pokoje blisko morza !,"Gdańsk Nowy Port, Wolności",41.2,3,2,1930,288 000 zł
"Mieszkanie - Gdańsk , 599 950 zł","Gdańsk Jasień, Aleksandry Gabrysiak",69.1,3,1,2012,599 950 zł
2-pok. niska zabudowa z balkonem,"Gdańsk Przymorze, Chłopska",36,2,4,0,439 000 zł
Mieszkanie w Centrum Gdańska,"Gdańsk Śródmieście, Ogarna",53,3,3,1950,798 000 zł
Apartament  na gdańskiej starówce,Gdańsk Śródmieście,43.4,2,5,2017,849 978 zł
Mieszkanie w kamienicy Gdańsk- Wrzeszcz,"Gdańsk Wrzeszcz, Kościuszki",33,1,2,1960,320 000 zł
Apartament w centrum gdańska,Gdańsk Śródmieście,44.4,2,6,2017,849 650 zł
2 pokoje Jasień garaż,"Gdańsk Szadółki, Jabłoniowa",48,2,2,2010,413 000 zł
Kawalerka w Czterech Oceanach - spacer 360,"Gdańsk Przymorze, Obrońców Wybrzeża",29,1,1,2017,399 000 zł
Spektrum 3 pokoje do wprowadzenia,"Gdańsk Przymorze, Rzeczypospolitej",61,3,12,2013,710 000 zł
Apartament po remoncie na Gdańskiej Starówce,"Gdańsk Śródmieście, Ogarna",34,2,1,1950,599 000 zł
Super mieszkanie w centrum Gdańska,"Gdańsk Siedlce, Gen. Józefa Sowińskiego",58,2,3,0,455 000 zł
3 pokoje z dużym balkonem blisko centrum!,"Gdańsk Orunia Górna, Krzemowa",61.27,3,4,1990,409 000 zł
3 pokojowe mieszkanie z garażem na Przymorzu,"Gdańsk Przymorze , Prezydenta Lecha Kaczyńskiego",57,3,1,2009,790 000 zł
Dwa pokoje w Świetnej lokalizacji,"Gdańsk Stare Przedmieście, Kotwiczników",39,2,parter,1950,360 000 zł
Urokliwe mieszkanie z Ogrodem w stanie Idealnym !!,"Gdańsk Łostowice, Andrzeja Grubby",42.32,2,0,2015,380 000 zł
Piękny apartament na gdańskiej starówce,Gdańsk Śródmieście,42.4,2,3,2017,811 377 zł
4 pokojowe dwupoziomowe mieszkanie idealne dla rodziny z dziećmi,"Gdańsk Ujeścisko, Częstochowska",93,4,3,1999,609 000 zł
"Przymorze - 2 pokojowe, wyremontowane, blisko morza, dobra komunikacja","Gdańsk Przymorze, Jagiellońska",41,2,2,1978,365 000 zł
"Gdańsk Przymorze I piętro, niski blok, 2 pok. świetna lokalizacja.","Gdańsk Przymorze, Jagiellońska",38,2,1,1967,378 000 zł
"Gdańsk Suchanino - 42m - 2 osobne pok. i kuchnia, dobra lokalizacja.","Gdańsk Suchanino, Paderewskiego",42,2,8,1980,359 000 zł
Okazja 4 pokojowe mieszkanie 500m od morza,"Gdańsk Brzeźno , Dworska",102,4,parter,1978,840 000 zł
Wyjątkowa Oferta. przymorze - spectrum,"Gdańsk Przymorze, Obrońców Wybrzeża",90,4,5,2020,1 330 000 zł
Trzypokojowy apartament w pobliżu Starówki.,"Gdańsk Długie Ogrody, Św. Barbary",55,3,5,2017,670 000 zł
Dwupoziomowe mieszkanie  - Gdańsk Jasień,"Gdańsk Jasień, Rycerza Blizbora",72.2,3,4,1996,482 000 zł
Dwupoziomowe mieszkanie  - Gdańsk Jasień,"Gdańsk Jasień, Rycerza Blizbora",72.2,3,4,1996,482 000 zł
Mieszkanie 2-pokojowe po generalnym remoncie!,"Gdańsk Nowy Port, Na Zaspę",43.57,2,parter,1905,365 000 zł
Kawalerka na parterze w pasie nadmorskim- niski blok,"Gdańsk Przymorze, Piastowska 106",27,1,parter,1970,315 000 zł
"Słoneczne, przytulne mieszkanie na Ujeścisku","Gdańsk Ujeścisko, Ciechanowska",71.2,4,parter,1992,599 000 zł
Nowa Niższa Cena! Suchanino 2-pok. mieszkanie,"Gdańsk Suchanino, Paderewskiego",42.4,3,8,1980,359 000 zł
4 pokoje z 3 balkonami myśliwska park,"Gdańsk Morena, Myśliwska",88.34,4,2,2010,749 000 zł
Najtańszy apartament na Śródmieściu!,"Gdańsk Stare Przedmieście, Toruńska",56.5,2,1,2020,499 000 zł
Trzypoziomowe mieszkanie ze słonecznymi tarasami,"Gdańsk Morena, Myśliwska",77.66,3,3,2020,659 000 zł
Mieszkanie w kamienicy z duszą lub dobra inwestycj,"Gdańsk Wrzeszcz, Sobótki",120,4,3,1905,692 500 zł
Mieszkanie Gdańsk 63.2m2,"Gdańsk Żabianka, Sztormowa",63.2,4,1,1970,620 000 zł
"Piękny, słoneczny apartament Neptun Park 50m plaża","Gdańsk Jelitkowo, Wypoczynkowa",36,1,1,2010,950 000 zł
Dwu-poziomowe mieszkanie na Jasieniu.,"Gdańsk Jasień, Pólnicy",91.8,4,4,1995,730 000 zł
Oliwa blisko Olivia Business Centre i UG,"Gdańsk Oliwa, Artura Grottgera",54,2,parter,0,540 000 zł
2 niezależne pokoje+oddzielna kuchnia z pięknym widokiem na Wisłę ...,"Gdańsk Stogi, Hoża",44,2,4,1971,310 000 zł
2 pokoje z widokiem na park!,"Gdańsk Żabianka, Sztormowa",43,2,parter,1995,490 000 zł
Mieszkanie Gdańsk Łostowice Olimpijska 30 m2,"Gdańsk Łostowice, Olimpijska",30,1,3,0,279 000 zł
"Mieszkanie - Gdańsk Zaspa, 630 000 zł","Gdańsk Zaspa, Dywizjonu 303",82,4,2,1980,630 000 zł
"2-pok mieszkanie, Wrzeszcz, ul. Chrobrego","Gdańsk Wrzeszcz, Chrobrego",50.6,2,3,1978,445 000 zł
Trzy pokojowe Mieszkanie na Przymorzu,"Gdańsk Przymorze, Gen. Bora-Komorowskiego",70,3,3,2008,819 900 zł
2 pokoje w idealnej lokalizacji!,"Gdańsk Wrzeszcz, Do Studzienki",54,2,2,1960,578 900 zł
Wyjątkowe mieszkanie na zamkniętym osiedlu,"Gdańsk Długie Ogrody, Szafarnia",54,2,2,2015,1 080 000 zł
Mieszkanie Gdańsk Śródmieście  85.2 m2,Gdańsk Śródmieście,85.2,3,4,0,999 000 zł
Piękne umeblowane mieszknie dostępne od zaraz,"Gdańsk Ujeścisko, Mariana Kołodzieja",52,3,3,2013,450 000 zł
Komfortowe 2 pokoje  Przymorze świetna lokalizacja,"Gdańsk Przymorze, Chłopska",45,2,1,1971,425 000 zł
Przestronne mieszkanie 2-pokojowe! Wysoki standard,"Gdańsk Wrzeszcz, Racławicka",53.3,2,parter,1965,530 000 zł
"Doskonała lokalizacja, świetna inwestycja -centrum","Gdańsk Śródmieście, 3 Maja",44.15,2,1,1910,389 000 zł
Gdańsk Przymorze-2 pok. dwustronne/balkon/piwnica,Gdańsk Przymorze,45,2,4,1970,389 000 zł
"Nowoczesne, jasne, ciche, 3 pok. Kiełpinek","Gdańsk Kiełpinek, Przytulna",58.5,3,2,2006,529 000 zł
"Przymorze 46m, 2 pok. i osobna kuchnia, blisko morza.","Gdańsk Przymorze, Obrońców Wybrzeża",46,2,parter,1970,385 000 zł
ZASPA 3 pokoje po remoncie oddzielna kuchnia OGRÓD,"Gdańsk Zaspa, Pilotów",56.3,3,parter,1980,529 000 zł
Słoneczne mieszkanie z ogródkiem dla rodziny,"Gdańsk Łostowice, Olimpijska",51,3,parter,2009,385 000 zł
Mieszkanie - Gdańsk Śródmieście,"Gdańsk Śródmieście, Garncarska",49.3,2,1,1952,529 000 zł
3 pokojowe mieszkanie we Wrzeszczu idealne dla rodziny z dziećmi,"Gdańsk Wrzeszcz, Żywiecka",62,3,2,1986,540 000 zł
Mieszknaie na gdańskiej Zaspie. Gotowiec.,"Gdańsk Zaspa, Dywizjonu 303",63,5,6,0,579 000 zł
Gdańsk Przymorze 29 m kw Cztery Oceany,"Gdańsk Przymorze, Obr. Wybrzeża 15",29,1,1,2017,399 000 zł
"Nowoczesne, świeżo wykończone, 3 pok. na Jasieniu","Gdańsk Szadółki, Stężycka",54.93,3,1,2020,450 000 zł
"Nad jeziorem, nowoczesne, ciche, 3 pok. Jasień","Gdańsk Jasień, Życzliwa",63.2,3,1,2011,540 000 zł
Apartament z widokiem na Morze,"Gdańsk Przymorze, Rzeczypospolitej",60.48,3,14,2013,759 000 zł
